T,M,LW,LW_t,LW_h,T_k
48.48484848,2.560606061,12.45,15.60266935,15.60266935,321.4848485
48.48484848,2.626262626,12.71,15.86266935,15.86266935,321.4848485
48.48484848,2.691919192,12.97,16.12266935,16.12266935,321.4848485
48.48484848,2.757575758,13.22,16.37266935,16.37266935,321.4848485
48.48484848,2.823232323,13.46,16.61266935,16.61266935,321.4848485
48.48484848,2.888888889,13.7,16.85266935,16.85266935,321.4848485
48.48484848,2.954545455,13.94,17.09266935,17.09266935,321.4848485
48.48484848,3.02020202,14.16,17.31266935,17.31266935,321.4848485
48.48484848,3.085858586,14.38,17.53266935,17.53266935,321.4848485
48.48484848,3.151515152,14.59,17.74266935,17.74266935,321.4848485
48.48484848,3.217171717,14.8,17.95266935,17.95266935,321.4848485
48.48484848,3.282828283,15,18.15266935,18.15266935,321.4848485
48.48484848,3.348484848,15.18,18.33266935,18.33266935,321.4848485
48.48484848,3.414141414,15.37,18.52266935,18.52266935,321.4848485
48.48484848,3.47979798,15.54,18.69266935,18.69266935,321.4848485
48.48484848,3.545454545,15.7,18.85266935,18.85266935,321.4848485
48.48484848,3.611111111,15.85,19.00266935,19.00266935,321.4848485
48.48484848,3.676767677,16,19.15266935,19.15266935,321.4848485
48.48484848,3.742424242,16.13,19.28266935,19.28266935,321.4848485
48.48484848,3.808080808,16.26,19.41266935,19.41266935,321.4848485
48.48484848,3.873737374,16.37,19.52266935,19.52266935,321.4848485
48.48484848,3.939393939,16.47,19.62266935,19.62266935,321.4848485
48.48484848,4.005050505,16.56,19.71266935,19.71266935,321.4848485
48.48484848,4.070707071,16.64,19.79266935,19.79266935,321.4848485
48.48484848,4.136363636,16.7,19.85266935,19.85266935,321.4848485
48.48484848,4.202020202,16.75,19.90266935,19.90266935,321.4848485
48.48484848,4.267676768,16.79,19.94266935,19.94266935,321.4848485
48.48484848,4.333333333,16.81,19.96266935,19.96266935,321.4848485
48.48484848,4.398989899,16.82,19.97266935,19.97266935,321.4848485
48.48484848,4.464646465,16.81,19.96266935,19.96266935,321.4848485
48.48484848,4.53030303,16.79,19.94266935,19.94266935,321.4848485
48.48484848,4.595959596,16.75,19.90266935,19.90266935,321.4848485
48.48484848,4.661616162,16.69,19.84266935,19.84266935,321.4848485
48.48484848,4.727272727,16.61,19.76266935,19.76266935,321.4848485
48.48484848,4.792929293,16.52,19.67266935,19.67266935,321.4848485
48.48484848,4.858585859,16.41,19.56266935,19.56266935,321.4848485
48.48484848,4.924242424,16.27,19.42266935,19.42266935,321.4848485
48.48484848,4.98989899,16.12,19.27266935,19.27266935,321.4848485
48.48484848,5.055555556,15.94,19.09266935,19.09266935,321.4848485
48.48484848,5.121212121,15.74,18.89266935,18.89266935,321.4848485
48.48484848,5.186868687,15.52,18.67266935,18.67266935,321.4848485
48.48484848,5.252525253,15.27,18.42266935,18.42266935,321.4848485
48.48484848,5.318181818,15,18.15266935,18.15266935,321.4848485
48.48484848,5.383838384,14.7,17.85266935,17.85266935,321.4848485
48.48484848,5.449494949,14.38,17.53266935,17.53266935,321.4848485
48.48484848,5.515151515,14.02,17.17266935,17.17266935,321.4848485
48.48484848,5.580808081,13.64,16.79266935,16.79266935,321.4848485
48.48484848,5.646464646,13.22,16.37266935,16.37266935,321.4848485
48.48484848,5.712121212,12.78,15.93266935,15.93266935,321.4848485
48.48484848,5.777777778,12.3,15.45266935,15.45266935,321.4848485
48.48484848,5.843434343,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.909090909,NaN,NaN,#VALUE!,321.4848485
48.48484848,5.974747475,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.04040404,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.106060606,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.171717172,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.237373737,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.303030303,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.368686869,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.434343434,NaN,NaN,#VALUE!,321.4848485
48.48484848,6.5,NaN,NaN,#VALUE!,321.4848485
47.97979798,0,0,3.005656707,3.005656707,320.979798
47.97979798,0.065656566,0.33,3.335656707,3.335656707,320.979798
47.97979798,0.131313131,0.66,3.665656707,3.665656707,320.979798
47.97979798,0.196969697,0.99,3.995656707,3.995656707,320.979798
47.97979798,0.262626263,1.33,4.335656707,4.335656707,320.979798
47.97979798,0.328282828,1.66,4.665656707,4.665656707,320.979798
47.97979798,0.393939394,2,5.005656707,5.005656707,320.979798
47.97979798,0.45959596,2.33,5.335656707,5.335656707,320.979798
47.97979798,0.525252525,2.67,5.675656707,5.675656707,320.979798
47.97979798,0.590909091,3.01,6.015656707,6.015656707,320.979798
47.97979798,0.656565657,3.35,6.355656707,6.355656707,320.979798
47.97979798,0.722222222,3.69,6.695656707,6.695656707,320.979798
47.97979798,0.787878788,4.03,7.035656707,7.035656707,320.979798
47.97979798,0.853535354,4.36,7.365656707,7.365656707,320.979798
47.97979798,0.919191919,4.7,7.705656707,7.705656707,320.979798
47.97979798,0.984848485,5.04,8.045656707,8.045656707,320.979798
47.97979798,1.050505051,5.37,8.375656707,8.375656707,320.979798
47.97979798,1.116161616,5.71,8.715656707,8.715656707,320.979798
47.97979798,1.181818182,6.04,9.045656707,9.045656707,320.979798
47.97979798,1.247474747,6.37,9.375656707,9.375656707,320.979798
47.97979798,1.313131313,6.7,9.705656707,9.705656707,320.979798
47.97979798,1.378787879,7.03,10.03565671,10.03565671,320.979798
47.97979798,1.444444444,7.35,10.35565671,10.35565671,320.979798
47.97979798,1.51010101,7.68,10.68565671,10.68565671,320.979798
47.97979798,1.575757576,8,11.00565671,11.00565671,320.979798
47.97979798,1.641414141,8.32,11.32565671,11.32565671,320.979798
47.97979798,1.707070707,8.63,11.63565671,11.63565671,320.979798
47.97979798,1.772727273,8.95,11.95565671,11.95565671,320.979798
47.97979798,1.838383838,9.26,12.26565671,12.26565671,320.979798
47.97979798,1.904040404,9.56,12.56565671,12.56565671,320.979798
47.97979798,1.96969697,9.87,12.87565671,12.87565671,320.979798
47.97979798,2.035353535,10.17,13.17565671,13.17565671,320.979798
47.97979798,2.101010101,10.46,13.46565671,13.46565671,320.979798
47.97979798,2.166666667,10.76,13.76565671,13.76565671,320.979798
47.97979798,2.232323232,11.05,14.05565671,14.05565671,320.979798
47.97979798,2.297979798,11.33,14.33565671,14.33565671,320.979798
47.97979798,2.363636364,11.61,14.61565671,14.61565671,320.979798
47.97979798,2.429292929,11.89,14.89565671,14.89565671,320.979798
47.97979798,2.494949495,12.16,15.16565671,15.16565671,320.979798
47.97979798,2.560606061,12.43,15.43565671,15.43565671,320.979798
